HospitalID,HospitalName,HospitalType,Address,Region,Region_id,PhoneNumber,NumberOfBeds,NumberOfDepartments,Specialties,OperatingHours,EmergencyServices,Ratings,Accreditation,LastRenovationDate,Mandatory Health Insurance
1, Merkezi Klinika ,Private," Akademik Hesen Eliyev kuc., 76",Narimanov,5,+994 12 306 90 34,129,9,"Oncology, Gynecology, Radiology",Emergency Only,Yes,3.5,National Accreditation,2021,No
2, Nerimanov Tibb Merkezi ,Public," Molla Cume kuc., 5",Narimanov,5,+994 12 950 96 84,185,12,"Surgery, Orthopedics, Internal Medicine",24/7,Yes,3.4,ISO 9001 Certified,2022,No
3, Baki Saglamliq Merkezi ,Private," Mehemmed Hadi kuc., 134",Khatai,2,+994 12 558 33 92,305,12,"Maternity, Pediatrics",24/7,No,3.5,Government Certified,2021,No
4, Respublika Neyrocerrahiyye Xestexanasi ,Public," Akademik M. Topcubasov kuc., 14",Nasimi,6,+994 12 898 23 42,239,11,"Surgery, Orthopedics, Internal Medicine",9:00 AM - 5:00 PM,No,4.5,National Accreditation,2022,No
5, Istanbul NS Klinika ,Private," Semsi Bedelbeyli kuc., 96",Nasimi,6,+994 12 145 98 60,471,19,"Ophthalmology, Cardiology",Emergency Only,Yes,3.8,Government Certified,2019,No
6, Baki Urek Merkezi ,Private," Mireli Qasqay kuc., 100",Nasimi,6,+994 12 850 23 95,228,23,"Surgery, Orthopedics, Internal Medicine",9:00 AM - 5:00 PM,No,5,National Accreditation,2020,No
7, Leyla Medical Center ,Private," Babek prospekti, 53",Khatai,2,+994 12 899 29 66,486,21,"Urology, ENT, General Surgery",8:00 AM - 6:00 PM,Yes,3.4,ISO 9001 Certified,2017,No
8, Bona Dea Beynelxalq Hospital ,Private," Ataturk prospekti, 85",Narimanov,5,+994 12 637 12 85,379,24,"Oncology, Gynecology, Radiology",24/7,No,4.6,Government Certified,2017,No
9, MedEra Hospital ,Private," Xetai prospekti, 38",Khatai,2,+994 12 640 54 68,344,25,"Ophthalmology, Cardiology",9:00 AM - 5:00 PM,Yes,4.2,Government Certified,2018,No
10, Modern Hospital ,Private," Semed Vurgun kuc., 99",Nasimi,6,+994 12 569 17 30,358,6,"Cardiology, Orthopedics",Emergency Only,Yes,3.5,Government Certified,2017,No
11, Yeni Klinika ,Public," Zerife Eliyeva kuc., 65",Sabail,10,+994 12 765 34 27,228,24,"Oncology, Gynecology, Radiology",9:00 AM - 5:00 PM,Yes,4.8,Government Certified,2017,No
12, Ege Hospital ,Private," Ceyhun Hacibeyli kuc., 117",Nasimi,6,+994 12 303 77 80,347,11,"Neurology, Dermatology",Emergency Only,Yes,3.4,Government Certified,2020,No
13, Azerbaijan Medical University Clinic ,Public," Bakixanov kuc., 23",Sabail,10,+994 12 321 75 62,139,5,"Surgery, Orthopedics, Internal Medicine",Emergency Only,No,4.6,Government Certified,2018,No
14, Respublika Diaqnostika Merkezi ,Public," Mikayil Musfiq kuc., 46",Yasamal,12,+994 12 708 48 73,318,18,"Cardiology, Orthopedics",Emergency Only,No,4.9,ISO 9001 Certified,2020,No
15, Zeferan Hospital ,Private," Bakixanov qesebesi, Naxcivani kuc., 57",Sabunchu,9,+994 12 814 15 65,311,14,"Oncology, Gynecology, Radiology",Emergency Only,Yes,4.8,National Accreditation,2020,No
16, Avrasiya Hospital ,Private," Enver Qasimzade kuc., 60",Binagadi,1,+994 12 497 45 61,84,14,"Ophthalmology, Cardiology",8:00 AM - 6:00 PM,No,4.5,ISO 9001 Certified,2018,No
17, Avrasiya Klinika ,Private," Merdanov Qardaslari kuc., 78",Nasimi,6,+994 12 330 89 80,469,10,"Maternity, Pediatrics",24/7,Yes,4.2,Government Certified,2021,No
18, Kaspian Hospital ,Private," Nesib bey Yusifbeyli kuc., 25",Nasimi,6,+994 12 990 48 33,83,7,"Cardiology, Neurology, Pediatrics",24/7,No,3.9,National Accreditation,2020,No
19, Baku Medical Plaza ,Private," Ismayil Qutqasinli kuc., 45",Nasimi,6,+994 12 958 62 79,107,5,"Surgery, Orthopedics, Internal Medicine",24/7,No,4.4,National Accreditation,2017,No
20, Xetai Tibb Merkezi ,Public," Babek prospekti, 12",Khatai,2,+994 12 396 41 40,346,19,"Neurology, Dermatology",24/7,No,3.7,ISO 9001 Certified,2018,No
21, Respublika Usaq Klinik Xestexanasi ,Public," Tbilisi prospekti, 26",Yasamal,12,+994 12 796 83 64,91,9,"Ophthalmology, Cardiology",8:00 AM - 6:00 PM,No,3.5,Government Certified,2017,No
22, Eliqulu Quliyev adina 5 sayli Seher Klinik Xestexanasi ,Public," Fuzuli kuc., 58",Sabail,10,+994 12 670 14 10,363,9,"Oncology, Gynecology, Radiology",9:00 AM - 5:00 PM,No,3.1,National Accreditation,2019,No
23, MediClub Hospital ,Private," Salyan sossesi, 32",Garadagh,4,+994 12 489 83 17,309,5,"Cardiology, Neurology, Pediatrics",8:00 AM - 6:00 PM,Yes,3.4,ISO 9001 Certified,2017,No
24, Azersigorta Hospital ,Public," Nerimanov rayonu, Tebriz kuc., 10",Narimanov,5,+994 12 276 54 34,155,15,"Surgery, Orthopedics, Internal Medicine",8:00 AM - 6:00 PM,No,3.4,Government Certified,2020,No
25, Nefroloji Xestexana ,Public," Xocali prospekti, 48",Khatai,2,+994 12 592 69 31,456,25,"Maternity, Pediatrics",Emergency Only,No,4.1,ISO 9001 Certified,2018,No
26, Respublika Talassemiya Merkezi ,Public," Mircelal kuc., 22",Yasamal,12,+994 12 458 21 60,343,14,"Cardiology, Orthopedics",24/7,No,5,Government Certified,2019,No
27, Azerbaycan Onkoloji Merkezi ,Public," Elcin Eliyev kuc., 3",Yasamal,12,+994 12 692 26 66,300,25,"Ophthalmology, Cardiology",Emergency Only,No,3.9,National Accreditation,2017,No
